run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n1_20260724_161402_kafka_feed1_rep1,kafka,single,1,3.729676,12.912070450000034,0.49122,0.7842469,1.5854629999999998,148
concurrency_n1_20260724_161402_kafka_feed1_rep2,kafka,single,1,3.8228125,14.501763750000013,0.4702685,0.7913722,1.5952730000000002,148
concurrency_n1_20260724_161402_kafka_feed1_rep3,kafka,single,1,3.8279095,13.33251025,0.4727165,0.7908838,1.6006624999999999,148
concurrency_n1_20260724_161402_kafka_feed1_rep4,kafka,single,1,3.7612135,11.908155000000024,0.5214415,0.7963737000000001,1.581748,148
concurrency_n1_20260724_161402_kafka_feed1_rep5,kafka,single,1,3.7039635,12.933127150000033,0.486663,0.8230884,1.5915295,148
concurrency_n1_20260724_161402_kafka_feed1_rep6,kafka,single,1,3.8067580000000003,12.015673400000018,0.498301,0.8135481,1.5999794999999999,148
concurrency_n1_20260724_161402_kafka_feed1_rep7,kafka,single,1,3.7587824999999997,14.436777750000008,0.5024375,0.8636173,1.5983075,148
concurrency_n1_20260724_161402_kafka_feed1_rep8,kafka,single,1,3.8392765,11.836117200000022,0.51746,0.8626813,1.617223,148
concurrency_n1_20260724_161402_redis_feed1_rep1,redis,single,1,2.9519064999999998,5.531512250000002,0.096387,1.1178026,1.5400040000000002,148
concurrency_n1_20260724_161402_redis_feed1_rep2,redis,single,1,2.9801855,5.424776250000002,0.088185,1.0892189,1.6099825,148
concurrency_n1_20260724_161402_redis_feed1_rep3,redis,single,1,2.9521195000000002,5.762585100000002,0.119412,1.1494155000000001,1.5537480000000001,148
concurrency_n1_20260724_161402_redis_feed1_rep4,redis,single,1,2.959332,5.7545372000000015,0.089782,1.0754152000000003,1.5562010000000002,148
concurrency_n1_20260724_161402_redis_feed1_rep5,redis,single,1,2.9563775000000003,5.613447000000002,0.1008385,1.0380471500000001,1.5628095,148
concurrency_n1_20260724_161402_redis_feed1_rep6,redis,single,1,2.9780615,5.5536226000000015,0.0993825,1.2782266500000001,1.548681,148
concurrency_n1_20260724_161402_redis_feed1_rep7,redis,single,1,2.958939,5.520585300000001,0.0942245,1.0871841500000001,1.5696545,148
concurrency_n1_20260724_161402_redis_feed1_rep8,redis,single,1,2.9822545,5.612921300000002,0.10871600000000001,1.1542974000000004,1.5877305,148
concurrency_n9_20260724_164217_kafka_feed1_rep1,kafka,single,9,3.8602334999999997,11.882706750000017,0.5498995,0.9165058,1.6132914999999999,148
concurrency_n9_20260724_164217_kafka_feed1_rep2,kafka,single,9,3.9137065,13.383930400000027,0.532944,0.91669045,1.6092005,148
concurrency_n9_20260724_164217_kafka_feed1_rep3,kafka,single,9,3.913792,11.801785200000023,0.5369355,0.8692187,1.6149405,148
concurrency_n9_20260724_164217_kafka_feed1_rep4,kafka,single,9,3.576734,14.19320070000001,0.4871535,0.7297984000000001,1.5180485,148
concurrency_n9_20260724_164217_kafka_feed1_rep5,kafka,single,9,3.641204,14.15846140000001,0.5135895,0.8160425,1.5124755,148
concurrency_n9_20260724_164217_kafka_feed1_rep6,kafka,single,9,3.652188,14.271404150000011,0.5223975000000001,0.86989435,1.507535,148
concurrency_n9_20260724_164217_kafka_feed1_rep7,kafka,single,9,3.6819534999999997,14.37973865000001,0.5128075,0.8516044,1.5935915,148
concurrency_n9_20260724_164217_kafka_feed1_rep8,kafka,single,9,3.8608855,8.578766650000004,0.5331490000000001,0.8316450000000001,1.616846,148
concurrency_n9_20260724_164217_kafka_feed2_rep1,kafka,single,9,3.567677,104.79678849999999,0.528487,0.796616,1.536672,71
concurrency_n9_20260724_164217_kafka_feed2_rep2,kafka,single,9,3.552812,105.34447399999999,0.538231,0.896649,1.594988,71
concurrency_n9_20260724_164217_kafka_feed2_rep3,kafka,single,9,3.56141,105.41729050000001,0.566235,0.9240809999999999,1.551053,71
concurrency_n9_20260724_164217_kafka_feed2_rep4,kafka,single,9,3.518217,104.78173749999999,0.540756,0.830623,1.580682,71
concurrency_n9_20260724_164217_kafka_feed2_rep5,kafka,single,9,3.592321,104.777676,0.509388,0.79307,1.586753,71
concurrency_n9_20260724_164217_kafka_feed2_rep6,kafka,single,9,3.761775,105.4699185,0.55616,0.9135,1.696778,71
concurrency_n9_20260724_164217_kafka_feed2_rep7,kafka,single,9,3.965929,105.721658,0.523329,0.800708,1.656146,71
concurrency_n9_20260724_164217_kafka_feed2_rep8,kafka,single,9,3.612991,105.09447,0.575329,1.0660180000000001,1.614639,71
concurrency_n9_20260724_164217_kafka_feed3_rep1,kafka,single,9,3.539601,7.865962,0.509849,0.770067,1.574709,121
concurrency_n9_20260724_164217_kafka_feed3_rep2,kafka,single,9,3.835428,8.781718,0.53733,0.807103,1.612433,121
concurrency_n9_20260724_164217_kafka_feed3_rep3,kafka,single,9,3.851347,8.627352,0.58945,0.84499,1.593142,121
