quantity,value,class,interval_95,method,note
GeomOrigConc,0.0824,has-interval,0.0731$--$0.0928,ledger-emitted,
GeomOrigFactor,2.07,has-interval,1.80$--$2.39,ledger-emitted,
GeomOrigSpread,0.1709,has-interval,0.1578$--$0.1848,ledger-emitted,
GeomReplConc,0.0600,has-interval,0.0520$--$0.0691,ledger-emitted,
GeomReplFactor,2.05,has-interval,1.73$--$2.43,ledger-emitted,
GeomReplSpread,0.1229,has-interval,0.1117$--$0.1352,ledger-emitted,
ombRetentionRho,+0.31,has-interval,+0.08$--$+0.51,ledger-emitted,
rtHighBase,0.3049,has-interval,0.2886$--$0.3216,ledger-emitted,
rtHighFactor,54,has-interval,33$--$86,ledger-emitted,
rtHighRt,0.0057,has-interval,0.0036$--$0.0091,ledger-emitted,
rtLowBase,0.1320,has-interval,0.1203$--$0.1446,ledger-emitted,
rtLowFactor,39,has-interval,21$--$74,ledger-emitted,
rtLowRt,0.0034,has-interval,0.0018$--$0.0062,ledger-emitted,
tailExponent,0.339,has-interval,0.234$--$0.443,ledger-emitted,
tailSlope,-0.34,has-interval,-0.44$ to $-0.23,ledger-emitted,
tostHL,0.408,has-interval,0.389$--$0.419,ledger-emitted,
tracedExcAlpha,0.21,has-interval,0.20$--$0.21,ledger-emitted,
tracedMleAlpha,1.19,has-interval,1.18$--$1.20,ledger-emitted,
tracedTailAlpha,2.04,has-interval,2.00$--$2.07,ledger-emitted,
spanNegAckPct,8.43%,added-here,"[8.15%, 8.71%]",cluster bootstrap over 5913 runs,
spanKafkaNegAckPct,8.67%,added-here,"[8.22%, 9.12%]",cluster bootstrap over 2955 runs,
spanRedisNegAckPct,8.19%,added-here,"[7.86%, 8.52%]",cluster bootstrap over 2958 runs,
msGuardDeletionPct (fig. deletion_histogram),45.8%,added-here,"[45.4%, 46.2%]",cluster bootstrap over 5913 runs,the 45.8%% in the new figure; not yet a paper macro
auditPct,58.3,added-here,"[56.3%, 60.3%]",Wilson on 1321/2266 runs,run is the unit of analysis; clustering not at issue
auditPctWorkstation,62.4,added-here,"[59.8%, 64.9%]",Wilson on 862/1382 runs,run is the unit of analysis; clustering not at issue
auditPctCloud,51.9,added-here,"[48.6%, 55.2%]",Wilson on 459/884 runs,run is the unit of analysis; clustering not at issue
rtFactorLow-rtFactorHigh (7-80x),7-80,range-not-CI,,min-max over 8 matched pairs,"per-pair CIs exist (rtLowCI, rtHighCI); print the range AS a range"
"tracedRatios (0.78, 1.06, 1.32)","0.78, 1.06, 1.32",needs-data,,,"ratio of a traced rate to an observed rate; needs per-arm event counts on both sides to bootstrap -- flag for v3, data exists in the depth artefacts"
ombGridRetentionMin/Max (0.36-100%),0.36-100,population,,,"complete enumeration of the 71 grid cells; each cell's retention is a fact of that run, not a sample estimate"
ombRetentionMinExact (0.0044%),0.0044,population,,,one run's exact retention
spanRuns,"5{,}913",exact,,,count or configured constant
spanEvents,"738{,}730",exact,,,count or configured constant
spanNegAck,"62{,}264",exact,,,count or configured constant
spanNegSend,0,exact,,,count or configured constant
auditRuns,"2{,}266",exact,,,count or configured constant
auditRejected,"1{,}321",exact,,,count or configured constant
ombRuns,223,exact,,,count or configured constant
ombDiscarded,"11{,}532{,}492",exact,,,count or configured constant
ombKept,"12{,}499{,}409",exact,,,count or configured constant
harnessAudited,7,exact,,,count or configured constant
forkChecked,40,exact,,,count or configured constant
forkUnchanged,40,exact,,,count or configured constant
tracedEvents,"551{,}956",exact,,,count or configured constant
kernelHz,1000,exact,,,count or configured constant
tickMs,1,exact,,,count or configured constant
testbedCpus,8,exact,,,count or configured constant
baseSliceMs,3,exact,,,count or configured constant
GeomOrigZ,10.3,exact,,,"count, constant, or enumerated value"
GeomReplZ,8.4,exact,,,"count, constant, or enumerated value"
auditConditions,116,exact,,,"count, constant, or enumerated value"
auditConditionsCloud,40,exact,,,"count, constant, or enumerated value"
auditConditionsWorkstation,76,exact,,,"count, constant, or enumerated value"
auditRejectedCloud,459,exact,,,"count, constant, or enumerated value"
auditRejectedWorkstation,862,exact,,,"count, constant, or enumerated value"
auditRunsCloud,884,exact,,,"count, constant, or enumerated value"
