event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,redis-py,1784865623535520189,1784865623535793847,1784865623535819466,1784865623536189321,0.273658,0.369855
9790a466-9c56-42aa-96aa-a9ad1a6f8811,redis-py,1784865623535520189,1784865623536257104,1784865623536270344,1784865623536546456,0.736915,0.276112
c6762724-3ad0-4ed1-b232-7f32ac192ec6,redis-py,1784865623535520189,1784865623536606528,1784865623536618276,1784865623536975971,1.086339,0.357695
ba22283a-c920-448c-804e-3737cccd9fff,redis-py,1784865623535520189,1784865623537031176,1784865623537042593,1784865623537871319,1.510987,0.828726
9a50295b-7f7a-449c-9ef3-87e60467e8e1,redis-py,1784865623535520189,1784865623537928335,1784865623537939593,1784865623538182904,2.408146,0.243311
17c0df03-219a-4603-befe-8cd2f58d6d47,redis-py,1784865624535560190,1784865624536591025,1784865624536643275,1784865624536685660,1.030835,0.042385
6c4c62f2-7d95-4094-a714-50c0161ee2e6,redis-py,1784865624535560190,1784865624536882039,1784865624536894578,1784865624536902751,1.321849,0.008173
15bf07b2-c5b7-4074-8693-1d9e4a5b7153,redis-py,1784865626535640193,1784865626537689534,1784865626537748453,1784865626537790517,2.049341,0.042064
3c689040-9b59-4fad-8456-48b2ec8a2058,redis-py,1784865626535640193,1784865626538018145,1784865626538032668,1784865626538043123,2.377952,0.010455
88661240-834a-430d-8629-b37b64dbcddc,redis-py,1784865627535680195,1784865627536727116,1784865627536777242,1784865627536816252,1.046921,0.03901
98e575e4-0886-40e5-96a8-9c9f857ebcc1,redis-py,1784865629535760198,1784865629537806899,1784865629537868183,1784865629537912791,2.046701,0.044608
f019df08-0da5-48d9-a838-1da35f369c3c,redis-py,1784865629535760198,1784865629538190544,1784865629538208432,1784865629538222664,2.430346,0.014232
1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2,redis-py,1784865631535840201,1784865631537887542,1784865631537943999,1784865631537987425,2.047341,0.043426
8f1fbe41-034b-43eb-9585-edbb0aadb7ba,redis-py,1784865632535880203,1784865632536915890,1784865632536963232,1784865632537000800,1.035687,0.037568
4127d02c-6da9-47dc-b26f-40da7d121a92,redis-py,1784865632535880203,1784865632537225142,1784865632537238142,1784865632537246504,1.344939,0.008362
585a8685-12a2-418f-91a6-4d2a02ad8430,redis-py,1784865635536000208,1784865635539044723,1784865635539124435,1784865635539171576,3.044515,0.047141
54f1c83c-f7c4-4413-8a2a-69aaac9bec05,redis-py,1784865636536040209,1784865636537097442,1784865636537151674,1784865636537190403,1.057233,0.038729
