run_id,campaign,started,backend,config,feeds,speedup,plan,host,git_head,n_code_files,n_produced,n_consumed,n_matched,transport_median_ms,tti_median_ms,n_negative_transport,frac_negative_transport,integrity,used_by,load_bearing,load_bearing_why
ack_run,ack-probe,,,,,,,,,0,,3,,,,,,not-assessed,,no,
batch9_20260617_kafka_cluster_s1_n1_rep1,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,2289,2289,2289,1211.8617,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s1_n1_rep2,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,2289,2289,2289,850.2738,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s1_n1_rep3,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,2289,2289,2289,1219.3446,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2_n1_rep1,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,1025.0287,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2_n1_rep2,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,1118.1073,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2_n1_rep3,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,783.184,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2full_n1_rep1,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,5037,5037,5037,29.0316,,10,0.001985,usable,,no,
batch9_20260617_kafka_cluster_s2full_n1_rep2,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,5037,5037,5037,22.5599,,16,0.003176,usable,,no,
batch9_20260617_kafka_cluster_s2full_n1_rep3,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,5037,5037,5037,14.9426,,12,0.002382,usable,,no,
batch9_20260617_kafka_cluster_s2sf12_n1_rep1,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,1035.3698,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2sf12_n1_rep2,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,1661.3763,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2sf12_n1_rep3,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,900.8115,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2sf12j2_n1_rep1,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,944.0583,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2sf12j2_n1_rep2,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,496.1369,,0,0.0,usable,,no,
batch9_20260617_kafka_cluster_s2sf12j2_n1_rep3,s2-batch,,kafka,cluster,1,120,combined_plan.csv,,2a74434fa524,4,4465,4465,4465,1053.6501,,0,0.0,usable,,no,
