run_id,campaign,started,backend,config,feeds,speedup,plan,host,git_head,n_code_files,n_produced,n_consumed,n_matched,transport_median_ms,tti_median_ms,n_negative_transport,frac_negative_transport,transport_integrity,used_by,load_bearing,load_bearing_why
concurrency_n12_20260723_050408_kafka_feed10_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,144,144,144,0.610897,,1,0.006944,usable,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed10_rep2,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,144,144,144,0.590792,,4,0.027778,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed10_rep3,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,144,144,144,0.60921,,3,0.020833,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed11_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,,5,,,,,,not-assessed,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed11_rep2,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,,5,,,,,,not-assessed,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed11_rep3,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,,5,,,,,,not-assessed,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed12_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,148,148,148,0.52032,,8,0.054054,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed12_rep2,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,148,148,148,0.532227,,6,0.040541,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed12_rep3,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,148,148,148,0.54003,,0,0.0,usable,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed1_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,148,148,148,0.565428,,6,0.040541,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed1_rep2,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,148,148,148,0.559039,,5,0.033784,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed1_rep3,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,148,148,148,0.560626,,1,0.006757,usable,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed2_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,109,71,71,0.506334,,7,0.098592,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed2_rep2,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,109,71,71,0.533244,,5,0.070423,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed2_rep3,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,109,71,71,0.572725,,0,0.0,usable,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed3_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,121,121,121,0.527025,,4,0.033058,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed3_rep2,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,121,121,121,0.566825,,3,0.024793,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed3_rep3,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,121,121,121,0.572113,,3,0.024793,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed4_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,112,112,112,0.590382,,8,0.071429,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed4_rep2,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,112,112,112,0.577882,,9,0.080357,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed4_rep3,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,112,112,112,0.595384,,5,0.044643,condemned,,yes,condition:depth
concurrency_n12_20260723_050408_kafka_feed5_rep1,concurrency,2026-07-23T05:04:08Z,kafka,kafka-single,12,0.008333,replay_plan.csv,sbl-drv,,4,145,145,145,0.538492,,8,0.055172,condemned,,yes,condition:depth
