run_id,backend,stream,event_id,match_id,t_sim_seconds,t_cons_recv_ns,t_output_ns,redis_id
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,2744675400,2744700600,1781601150431-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,207c41be-4905-457d-af38-e356b67981de,3895060,0,2746033300,2746051800,1781601150432-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,2747132600,2747144300,1781601150433-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,2747616200,2747630400,1781601150433-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,2748697400,2748713900,1781601150434-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,2749223200,2749234000,1781601150434-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,2750212000,2750222400,1781601150435-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,2750606900,2750617100,1781601150436-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,2751064000,2751075100,1781601150436-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,2752121100,2752130100,1781601150437-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,2752616000,2752625400,1781601150437-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,2753162500,2753173000,1781601150438-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,2754207900,2754218600,1781601150439-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,2754620400,2754630400,1781601150439-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,2755002400,2755011800,1781601150440-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,2755423500,2755433300,1781601150440-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,2756507200,2756516500,1781601150441-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,2757060500,2757071000,1781601150441-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,2757549800,2757559300,1781601150442-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,2758083100,2758096800,1781601150442-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,2759158000,2759169200,1781601150443-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,2759637500,2759647500,1781601150443-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,2760093500,2760103100,1781601150444-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,2760657500,2760666800,1781601150445-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3895086,0,2761192000,2761202100,1781601150445-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,52a1e2ea-5b27-4cb1-9204-865583191956,3895095,0,2762291100,2762301500,1781601150446-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,6810c39c-8726-412f-b831-62dfec867465,3895107,0,2762797200,2762808100,1781601150446-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3895113,0,2763261600,2763271500,1781601150447-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,92e52894-484a-48de-8051-469ea23d6aaa,3895121,0,2763726700,2763737400,1781601150447-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,3895134,0,2764180900,2764190500,1781601150448-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,ba22283a-c920-448c-804e-3737cccd9fff,3895052,0,2764670600,2764681300,1781601150448-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,3895060,0,2765725900,2765736300,1781601150449-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,fae27a68-42f4-44cf-8fc0-8d4126407ae3,3895067,0,2766137900,2766148200,1781601150449-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,e627413d-5de5-402a-9bb3-90c4cd3b65ec,3895074,0,2766634900,2766644700,1781601150450-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,b795eae8-ba56-4343-8662-92a8da669bc5,3895086,0,2767122200,2767133400,1781601150450-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,a7102458-910f-4583-b653-e3165351e124,3895095,0,2767621200,2767631500,1781601150451-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,a549d56e-c626-419f-9244-ad813ec8e559,3895107,0,2768131000,2768140600,1781601150451-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,51a7253e-31ed-49f5-9494-f5ab0d2ee039,3895113,0,2768593400,2768603100,1781601150452-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,d16c061b-99fe-4266-ad73-d7f9c73482b0,3895121,0,2769590100,2769602600,1781601150453-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,6d5e4ad7-9dd8-428b-97f9-5eee0ee14c17,3895134,0,2770165900,2770179500,1781601150453-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,9a50295b-7f7a-449c-9ef3-87e60467e8e1,3895052,0,2770700000,2770710300,1781601150454-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,69bdfb9b-ba46-41c8-814a-98f0a43c6501,3895060,0,2771130500,2771140300,1781601150454-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,ad010a23-88fe-43af-8b5c-8cd1772842ac,3895067,0,2771557100,2771568100,1781601150455-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,16252ec8-ab09-4119-bcf6-7fd6524f9128,3895074,0,2772041900,2772055700,1781601150455-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,3aee3cdf-be11-4ee6-b4bb-828cb4edbe36,3895086,0,2773097900,2773107400,1781601150456-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,4a13ba2d-59ad-43d3-b567-6aee81422367,3895095,0,2773605700,2773622800,1781601150457-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,cc3b6a56-e194-4ce6-901d-a4f84177e81b,3895107,0,2774120400,2774131700,1781601150457-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,ac5aac4c-5a0e-44c2-97ca-ec38bdb05917,3895113,0,2774709200,2774721300,1781601150458-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,1cdd596e-bf1f-4096-848a-a2a5db4fd313,3895121,0,2775266800,2775279400,1781601150458-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,1bed9ec9-1af9-4570-a620-8aab3469a6dd,3895134,0,2775711000,2775721600,1781601150459-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,e03021cc-80c5-4ac6-909e-903dca845ee3,3895107,0,2776200400,2776211100,1781601150459-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,f3dfb8ef-6678-493f-bbce-99f9678b7f75,3895107,0,2777420100,2777439700,1781601150460-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,17c0df03-219a-4603-befe-8cd2f58d6d47,3895052,1,2778027100,2778037900,1781601150461-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,b306ec30-5755-4017-861a-670617955a41,3895074,1,2778473300,2778484100,1781601150461-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,6c4c62f2-7d95-4094-a714-50c0161ee2e6,3895052,1,2778955200,2778966000,1781601150462-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,2b7eff06-8d56-4f2c-bab1-076d4077ed10,3895074,1,2779407100,2779418100,1781601150462-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,8d4e66c1-7ddb-4e75-b89f-bdb0592be264,3895107,1,2779877900,2779888200,1781601150463-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,ceaa47dd-e3bf-4016-ade0-ed3d54afe971,3895060,2,2780911800,2780921500,1781601150464-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,0e2c9eac-6504-4dae-9939-5f2920e7102d,3895067,2,2781363700,2781373100,1781601150464-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,40f9b6ab-32ab-47e8-8b92-9b97e90d4c4f,3895086,2,2781930100,2781940800,1781601150465-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,f69d0d63-6ad0-41ea-bcec-f1b86b886a83,3895095,2,2782421200,2782435400,1781601150465-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,d54cc444-c9f7-4e31-820a-28e0ad5d8ec4,3895113,2,2782881200,2782891800,1781601150466-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,f8442e6f-3919-46bc-848a-5f545627cf82,3895121,2,2783349700,2783359300,1781601150466-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,50dad646-a7c1-450b-8a63-2e2fd90b3cd1,3895134,2,2783744700,2783755100,1781601150467-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,70432a35-52ff-429b-8a11-c47bba8fab19,3895060,2,2784877200,2784891000,1781601150467-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,c04183cf-75d8-42b0-91fd-4a026dba10b4,3895067,2,2785367100,2785381000,1781601150468-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,55321383-ae1f-407e-8f20-2524fd16d04a,3895086,2,2786004700,2786019600,1781601150469-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,285e8e4a-7c84-4ca1-9688-d8b56d623cc2,3895095,2,2786695300,2786706100,1781601150469-1
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,eb3fde27-a34b-42be-b262-d329e138fff2,3895113,2,2787209000,2787219800,1781601150470-0
batch1_20260615_redis_single_s2_n10_rep1,redis,sb:events:batch1_20260615_redis_single_s2_n10_rep1,f296523f-5c17-4d25-8371-f7142523a057,3895121,2,2787885100,2787898000,1781601150470-1
