run_id,backend,topic,event_id,match_id,t_sim_seconds,t_cons_recv_ns,t_output_ns
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,4303761100,4303761600
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,4303811400,4303811700
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,4303832300,4303832500
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,4303850800,4303851000
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,4303868000,4303868200
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,4303884500,4303884700
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,4303901300,4303901500
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,4303917700,4303917900
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,4303934800,4303935000
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,sb-events-batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,6810c39c-8726-412f-b831-62dfec867465,3895107,0,4303951700,4303951900
