run_id,backend,stream,event_id,match_id,t_sim_seconds,t_cons_recv_ns,t_output_ns,redis_id
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,2883390900,2883444600,1781626023543-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,207c41be-4905-457d-af38-e356b67981de,3895060,0,2886737300,2886762300,1781626023545-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,2887654800,2887667000,1781626023547-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,2890215700,2890229200,1781626023547-1
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,2891065600,2891086600,1781626023548-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,2892173600,2892192300,1781626023549-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,2893180400,2893198900,1781626023550-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,2897448000,2897469400,1781626023551-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,2898874100,2898893800,1781626023552-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,2900270400,2900285100,1781626023553-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,224d6601-6768-4908-aa17-df7c0b6dda1b,3895232,0,2901775100,2901794300,1781626023554-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,2903217200,2903229800,1781626023555-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,2904480000,2904496700,1781626023556-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,2908016000,2908043800,1781626023558-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,2909844800,2909868500,1781626023560-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,2911183400,2911203000,1781626023562-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,2912506700,2912531200,1781626023563-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,2913954500,2913970200,1781626023564-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,2915314600,2915331500,1781626023566-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,2916516100,2916527800,1781626023567-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,2919919600,2919943400,1781626023569-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,4ecb7ba2-122b-4bc6-846d-d2e3e2af4165,3895232,0,2921661900,2921690100,1781626023571-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,2923343100,2923365900,1781626023572-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,2924821400,2924847800,1781626023574-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,2926225700,2926239100,1781626023575-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,2927543000,2927558700,1781626023577-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3895086,0,2928820200,2928833500,1781626023578-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,52a1e2ea-5b27-4cb1-9204-865583191956,3895095,0,2929829700,2929842900,1781626023579-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,6810c39c-8726-412f-b831-62dfec867465,3895107,0,2933402200,2933417600,1781626023581-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3895113,0,2934708700,2934725700,1781626023582-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,92e52894-484a-48de-8051-469ea23d6aaa,3895121,0,2936372600,2936393100,1781626023585-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,3895134,0,2938013800,2938032900,1781626023586-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,94fb7d19-0216-4cc8-9131-fc41d750b44c,3895232,0,2939426900,2939442500,1781626023588-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,ba22283a-c920-448c-804e-3737cccd9fff,3895052,0,2940746700,2940759500,1781626023590-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,3895060,0,2941901600,2941912800,1781626023591-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,fae27a68-42f4-44cf-8fc0-8d4126407ae3,3895067,0,2943091600,2943103000,1781626023592-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,e627413d-5de5-402a-9bb3-90c4cd3b65ec,3895074,0,2946561700,2946574800,1781626023594-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,b795eae8-ba56-4343-8662-92a8da669bc5,3895086,0,2947793600,2947810200,1781626023595-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,a7102458-910f-4583-b653-e3165351e124,3895095,0,2949537700,2949559500,1781626023598-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,a549d56e-c626-419f-9244-ad813ec8e559,3895107,0,2951177300,2951200000,1781626023599-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,51a7253e-31ed-49f5-9494-f5ab0d2ee039,3895113,0,2952627900,2952646300,1781626023601-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,d16c061b-99fe-4266-ad73-d7f9c73482b0,3895121,0,2953810400,2953823200,1781626023602-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,6d5e4ad7-9dd8-428b-97f9-5eee0ee14c17,3895134,0,2955052000,2955064400,1781626023603-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,67915205-392c-4f78-8b75-4cf6b88abc1e,3895232,0,2956062000,2956073700,1781626023604-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,9a50295b-7f7a-449c-9ef3-87e60467e8e1,3895052,0,2957294500,2957307100,1781626023606-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,69bdfb9b-ba46-41c8-814a-98f0a43c6501,3895060,0,2960964400,2960981300,1781626023607-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,ad010a23-88fe-43af-8b5c-8cd1772842ac,3895067,0,2962556800,2962611800,1781626023609-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,16252ec8-ab09-4119-bcf6-7fd6524f9128,3895074,0,2964310500,2964351200,1781626023611-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,3aee3cdf-be11-4ee6-b4bb-828cb4edbe36,3895086,0,2965826300,2965850500,1781626023613-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,4a13ba2d-59ad-43d3-b567-6aee81422367,3895095,0,2967730300,2967750400,1781626023615-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,cc3b6a56-e194-4ce6-901d-a4f84177e81b,3895107,0,2969412600,2969430100,1781626023616-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,ac5aac4c-5a0e-44c2-97ca-ec38bdb05917,3895113,0,2970745200,2970771800,1781626023617-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,1cdd596e-bf1f-4096-848a-a2a5db4fd313,3895121,0,2972145400,2972156500,1781626023619-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,1bed9ec9-1af9-4570-a620-8aab3469a6dd,3895134,0,2973704700,2973717000,1781626023620-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,50c22c33-b812-4a3b-9c03-0175309809ed,3895232,0,2977993300,2978012500,1781626023622-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,e03021cc-80c5-4ac6-909e-903dca845ee3,3895107,0,2979254700,2979282400,1781626023623-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,f3dfb8ef-6678-493f-bbce-99f9678b7f75,3895107,0,2980391200,2980403900,1781626023625-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,17c0df03-219a-4603-befe-8cd2f58d6d47,3895052,1,2981653500,2981676000,1781626023627-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,b306ec30-5755-4017-861a-670617955a41,3895074,1,2983320500,2983345400,1781626023629-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,6c4c62f2-7d95-4094-a714-50c0161ee2e6,3895052,1,2985135600,2985159700,1781626023631-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,2b7eff06-8d56-4f2c-bab1-076d4077ed10,3895074,1,2986698800,2986714600,1781626023632-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,8d4e66c1-7ddb-4e75-b89f-bdb0592be264,3895107,1,2988200800,2988224700,1781626023634-0
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2full_n5_rep2,ceaa47dd-e3bf-4016-ade0-ed3d54afe971,3895060,2,2990467100,2990490900,1781626023635-0
