run_id,backend,stream,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_prod_sched_ns,t_prod_send_ns,t_broker_ack_ns,redis_id
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,-1.4613541829775407,803979849,818512700,820732400,1781627731684-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,-1.3900987884383924,804573644,820916800,821727200,1781627731686-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,-0.989115412351636,807915172,821875000,822682800,1781627731687-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,-0.955765297937964,808193090,822843300,824154600,1781627731688-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,-0.6081867526392397,811089578,824309900,825297200,1781627731690-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,-0.3363955376959393,813354504,825463400,826545100,1781627731691-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,-0.31158692523486,813561243,826653900,828019300,1781627731692-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,0.4644201119859548,820027967,828130300,829782100,1781627731694-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,0.8920991910897675,823591959,830090400,831970000,1781627731696-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,207c41be-4905-457d-af38-e356b67981de,3895060,0,1.7493693950198934,830735878,832181300,833554800,1781627731698-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,-1.4613541829775407,803979849,833737500,835085200,1781627731699-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,-1.3900987884383924,804573644,835257200,836850300,1781627731701-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,-0.989115412351636,807915172,837032200,838367400,1781627731703-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,-0.955765297937964,808193090,838546800,839843800,1781627731704-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,-0.6081867526392397,811089578,840000200,841148000,1781627731705-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,-0.3363955376959393,813354504,841268000,842613100,1781627731707-0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,sb:events:batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,-0.31158692523486,813561243,842852800,844922400,1781627731709-0
