run_id,backend,stream,redis_id,t_consume_ns,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_emit_planned_ns,s3_uid,s3_rev,s3_is_correction
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160412-0,1781704160412856500,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,0.0,1781704160389464100,3895052:69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160413-0,1781704160414093800,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,0.0,1781704160389464100,3895095:73376ffb-3f9f-4570-9b3e-c51d44315ef3,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160413-1,1781704160414093800,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,0.0,1781704160389464100,3895107:b4bd630b-4e82-4f31-8947-17beb238dc5a,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160414-0,1781704160415259000,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,0.0,1781704160389464100,3895113:a88295ad-33e8-4427-872c-eba006d8a0ef,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160415-0,1781704160416255400,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,0.0,1781704160389464100,3895121:27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160415-1,1781704160416255400,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,0.0,1781704160389464100,3895134:4af6d17a-69ad-4bca-aece-f3be76c10138,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160416-0,1781704160417264800,4ecb7ba2-122b-4bc6-846d-d2e3e2af4165,3895232,0,0.0,1781704160389464100,3895232:4ecb7ba2-122b-4bc6-846d-d2e3e2af4165,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160416-1,1781704160417264800,207c41be-4905-457d-af38-e356b67981de,3895060,0,0.0,1781704160389464100,3895060:207c41be-4905-457d-af38-e356b67981de,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160416-2,1781704160418558500,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,0.0,1781704160389464100,3895052:c6762724-3ad0-4ed1-b232-7f32ac192ec6,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160417-0,1781704160418558500,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,0.0,1781704160389464100,3895060:2f46ad65-50a4-4834-9bd9-86a61f034234,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160417-1,1781704160419820800,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,0.0,1781704160389464100,3895067:a40403c7-74d7-45e6-ba91-5ebd6c313d8e,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160417-2,1781704160419820800,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,0.0,1781704160389464100,3895074:77f9b3e5-e0e4-4032-8228-089aa0dd578b,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160417-3,1781704160420862200,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3895086,0,0.0,1781704160389464100,3895086:8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160418-0,1781704160422042100,52a1e2ea-5b27-4cb1-9204-865583191956,3895095,0,0.0,1781704160389464100,3895095:52a1e2ea-5b27-4cb1-9204-865583191956,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160418-1,1781704160423041600,6810c39c-8726-412f-b831-62dfec867465,3895107,0,0.0,1781704160389464100,3895107:6810c39c-8726-412f-b831-62dfec867465,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160418-2,1781704160423041600,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3895113,0,0.0,1781704160389464100,3895113:6d6ab3f4-8136-407c-a92f-3f8a6549abdd,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160418-3,1781704160424054900,92e52894-484a-48de-8051-469ea23d6aaa,3895121,0,0.0,1781704160389464100,3895121:92e52894-484a-48de-8051-469ea23d6aaa,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160419-0,1781704160424054900,a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,3895134,0,0.0,1781704160389464100,3895134:a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160419-1,1781704160425173900,94fb7d19-0216-4cc8-9131-fc41d750b44c,3895232,0,0.0,1781704160389464100,3895232:94fb7d19-0216-4cc8-9131-fc41d750b44c,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160419-2,1781704160425173900,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,0.0,1781704160389464100,3895067:7eb000ee-2ef0-462a-bd57-e4320f459c68,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160419-3,1781704160426285300,ba22283a-c920-448c-804e-3737cccd9fff,3895052,0,0.0,1781704160389464100,3895052:ba22283a-c920-448c-804e-3737cccd9fff,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160420-0,1781704160426285300,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,3895060,0,0.0,1781704160389464100,3895060:3b3a42a2-e2a1-49f8-9b77-5ec638303a06,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160420-1,1781704160427281200,fae27a68-42f4-44cf-8fc0-8d4126407ae3,3895067,0,0.0,1781704160389464100,3895067:fae27a68-42f4-44cf-8fc0-8d4126407ae3,1,False
batch9_20260617_redis_single_s2full_n1_rep3,redis,sb:events:batch9_20260617_redis_single_s2full_n1_rep3,1781704160420-2,1781704160427281200,e627413d-5de5-402a-9bb3-90c4cd3b65ec,3895074,0,0.0,1781704160389464100,3895074:e627413d-5de5-402a-9bb3-90c4cd3b65ec,1,False
