run_id,backend,stream,event_id,match_id,t_sim_seconds,t_cons_recv_ns,t_output_ns,redis_id
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,2723456100,2723481700,1781291000741-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,207c41be-4905-457d-af38-e356b67981de,3895060,0,2724675400,2724690900,1781291000742-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,2725847600,2725867700,1781291000743-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,2726900100,2726914700,1781291000744-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,2727501500,2727515800,1781291000745-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,2728653000,2728664500,1781291000745-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,2729128500,2729138800,1781291000746-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,2730011000,2730021000,1781291000747-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,2730679200,2730689800,1781291000747-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,2731140900,2731150100,1781291000748-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,2732084500,2732094800,1781291000748-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,2732552700,2732562800,1781291000749-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,2733007700,2733017200,1781291000749-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,2733500800,2733510300,1781291000750-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,2734609200,2734622800,1781291000751-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,2735040600,2735050700,1781291000751-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,2735530400,2735539700,1781291000752-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,2735972800,2735981700,1781291000752-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,2736979200,2736992600,1781291000753-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,2737436300,2737445500,1781291000754-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,2737889700,2737899900,1781291000754-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,2738322400,2738332400,1781291000755-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,2739246000,2739255100,1781291000755-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,2739709600,2739719500,1781291000756-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3895086,0,2740196300,2740206400,1781291000756-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,52a1e2ea-5b27-4cb1-9204-865583191956,3895095,0,2740789800,2740803600,1781291000757-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,6810c39c-8726-412f-b831-62dfec867465,3895107,0,2741685500,2741694700,1781291000757-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3895113,0,2742144500,2742154400,1781291000758-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,92e52894-484a-48de-8051-469ea23d6aaa,3895121,0,2742596900,2742607000,1781291000758-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,3895134,0,2743084000,2743094100,1781291000759-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,ba22283a-c920-448c-804e-3737cccd9fff,3895052,0,2743594800,2743604500,1781291000760-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,3895060,0,2744709200,2744718700,1781291000760-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,fae27a68-42f4-44cf-8fc0-8d4126407ae3,3895067,0,2745260500,2745270200,1781291000761-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,e627413d-5de5-402a-9bb3-90c4cd3b65ec,3895074,0,2745799400,2745809200,1781291000761-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,b795eae8-ba56-4343-8662-92a8da669bc5,3895086,0,2746265500,2746274900,1781291000762-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,a7102458-910f-4583-b653-e3165351e124,3895095,0,2746736500,2746745300,1781291000762-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,a549d56e-c626-419f-9244-ad813ec8e559,3895107,0,2747793500,2747803100,1781291000763-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,51a7253e-31ed-49f5-9494-f5ab0d2ee039,3895113,0,2748438800,2748449700,1781291000763-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,d16c061b-99fe-4266-ad73-d7f9c73482b0,3895121,0,2748930200,2748944600,1781291000764-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,6d5e4ad7-9dd8-428b-97f9-5eee0ee14c17,3895134,0,2749442400,2749452100,1781291000764-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,9a50295b-7f7a-449c-9ef3-87e60467e8e1,3895052,0,2749892200,2749902200,1781291000765-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,69bdfb9b-ba46-41c8-814a-98f0a43c6501,3895060,0,2750332700,2750341900,1781291000766-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,ad010a23-88fe-43af-8b5c-8cd1772842ac,3895067,0,2751263700,2751273000,1781291000766-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,16252ec8-ab09-4119-bcf6-7fd6524f9128,3895074,0,2751795900,2751805400,1781291000767-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,3aee3cdf-be11-4ee6-b4bb-828cb4edbe36,3895086,0,2752255600,2752265400,1781291000768-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,4a13ba2d-59ad-43d3-b567-6aee81422367,3895095,0,2752697300,2752706600,1781291000768-1
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,cc3b6a56-e194-4ce6-901d-a4f84177e81b,3895107,0,2753149200,2753162000,1781291000769-0
s5_s2sf12_baseline_redis_rep1_20260612_200317,redis,sb:events:s5_s2sf12_baseline_redis_rep1_20260612_200317,ac5aac4c-5a0e-44c2-97ca-ec38bdb05917,3895113,0,2754358800,2754376900,1781291000769-1
