timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:09:48.196,kafka,151.79,1183.74,0.21,142.8
2026-06-12 20:09:49.815,kafka,3.91,1118.21,0.2,142.8
2026-06-12 20:09:51.791,kafka,4.47,1118.21,0.22,142.8
2026-06-12 20:09:53.802,kafka,33.86,1119.23,0.21,142.8
2026-06-12 20:09:55.822,kafka,32.73,1119.23,0.2,142.8
2026-06-12 20:09:57.832,kafka,34.9,1120.26,0.21,142.8
2026-06-12 20:09:59.832,kafka,1.63,1120.26,0.22,142.8
2026-06-12 20:10:01.845,kafka,1.67,1120.26,0.22,142.8
2026-06-12 20:10:03.854,kafka,1.57,1120.26,0.23,142.8
2026-06-12 20:10:05.860,kafka,1.8,1120.26,0.23,142.8
2026-06-12 20:10:07.895,kafka,1.54,1120.26,0.22,142.8
