timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:03:58.257,kafka,154.13,1182.72,0.23,137.1
2026-06-12 20:03:59.884,kafka,3.95,1117.18,0.23,137.1
2026-06-12 20:04:01.860,kafka,3.14,1117.18,0.25,137.1
2026-06-12 20:04:03.865,kafka,35.08,1117.18,0.21,137.1
2026-06-12 20:04:05.873,kafka,33.53,1118.21,0.19,137.1
2026-06-12 20:04:07.892,kafka,32.56,1118.21,0.19,137.1
2026-06-12 20:04:09.898,kafka,1.69,1118.21,0.22,137.1
2026-06-12 20:04:11.911,kafka,1.59,1118.21,0.21,137.1
2026-06-12 20:04:13.913,kafka,1.65,1118.21,0.23,137.1
2026-06-12 20:04:15.928,kafka,1.89,1118.21,0.23,137.1
